Symptom,weight
mass or swelling around the anus,2
ankle swelling,2
elbow swelling,2
bleeding from ear,2
hand or finger weakness,2
low self-esteem,2
itching of the anus,2
swollen or red tonsils,4
hip stiffness or tightness,2
mouth pain,2
arm weakness,2
obsessions and compulsions,2
antisocial behavior,2
sneezing,2
leg weakness,2
hysterical behavior,2
arm lump or mass,2
bleeding gums,4
pain in gums,4
diaper rash,2
hesitancy,2
back stiffness or tightness,2
low urine output,6
