Disease,Description
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
actinic keratosis,"A rough, scaly patch on the skin caused by years of sun exposure; considered precancerous."
acute bronchiolitis,"Inflammation of the small airways (bronchioles) in the lungs, most common in infants and usually viral."
acute bronchitis,"Short-term inflammation of the bronchial tubes causing cough and mucus, often following a respiratory infection."
acute bronchospasm,"Sudden constriction of the airway muscles, causing wheezing and difficulty breathing."
acute kidney injury,"A sudden decline in kidney function over hours or days, reducing the body's ability to filter waste."
acute pancreatitis,"Sudden inflammation of the pancreas, typically causing severe upper-abdominal pain."
acute sinusitis,"Short-term inflammation of the sinuses, usually from infection, causing facial pressure and congestion."
angina,"Chest pain caused by reduced blood flow to the heart muscle, often a warning sign of coronary artery disease."
anxiety,"A mental-health condition marked by excessive worry, nervousness, and physical tension."
appendicitis,"Inflammation of the appendix, causing abdominal pain that usually requires urgent surgery."
arthritis of the hip,"Degeneration or inflammation of the hip joint, causing pain and reduced mobility."
asthma,"A chronic condition in which the airways narrow and swell, producing wheezing and shortness of breath."
benign prostatic hyperplasia (bph),Non-cancerous enlargement of the prostate gland that can obstruct urine flow in older men.
brachial neuritis,"Sudden inflammation of nerves in the shoulder and arm, causing pain followed by weakness."
bursitis,"Inflammation of a bursa (a fluid-filled cushioning sac) near a joint, causing localized pain."
carpal tunnel syndrome,"Compression of the median nerve at the wrist, causing hand numbness, tingling, and weakness."
cholecystitis,"Inflammation of the gallbladder, usually from a blocked bile duct, causing right-upper-abdominal pain."
chronic back pain,"Persistent pain in the back lasting twelve weeks or longer, with many possible causes."
chronic constipation,Long-standing infrequent or difficult bowel movements.
chronic obstructive pulmonary disease (copd),"A progressive lung disease causing airflow obstruction and breathing difficulty, often from smoking."
complex regional pain syndrome,"A chronic pain condition, usually affecting a limb, often following an injury."
concussion,A mild traumatic brain injury caused by a blow or jolt to the head.
conjunctivitis,"Inflammation of the conjunctiva (the eye's outer membrane), causing redness and discharge."
conjunctivitis due to allergy,"Eye inflammation triggered by an allergic reaction, causing itching, redness, and watering."
contact dermatitis,A skin rash caused by direct contact with an irritant or allergen.
cornea infection,"Infection of the cornea (the clear front of the eye), which can threaten vision if untreated."
croup,A childhood viral infection causing airway swelling and a characteristic barking cough.
cystitis,"Inflammation of the bladder, usually from a urinary tract infection, causing painful urination."
degenerative disc disease,"Age-related breakdown of the spinal discs, which can cause back or neck pain."
dental caries,Tooth decay caused by bacteria producing acid that erodes the tooth enamel.
depression,"A mood disorder causing persistent sadness, loss of interest, and reduced daily functioning."
developmental disability,"A group of conditions causing impairment in physical, learning, language, or behavioral areas."
diaper rash,"Skin irritation in the diaper area, common in infants, from moisture and friction."
diverticulitis,Inflammation or infection of small pouches (diverticula) in the wall of the colon.
ear drum damage,"A tear or rupture of the eardrum, which can affect hearing and cause ear pain."
eczema,"A chronic condition causing itchy, inflamed, and dry patches of skin."
esophagitis,"Inflammation of the esophagus, often from acid reflux, causing pain or difficulty swallowing."
eustachian tube dysfunction (ear disorder),Impaired pressure regulation in the middle ear due to a blocked eustachian tube.
fungal infection of the hair,A fungal infection affecting the scalp or hair follicles.
gallstone,A hardened deposit in the gallbladder that can block bile flow and cause pain.
gastrointestinal hemorrhage,"Bleeding anywhere along the digestive tract, ranging from minor to life-threatening."
gout,"A form of arthritis caused by uric-acid crystal buildup, causing sudden severe joint pain."
gum disease,Inflammation and infection of the gums and supporting structures of the teeth.
heart failure,A condition in which the heart cannot pump blood effectively to meet the body's needs.
hemorrhoids,"Swollen veins in the lower rectum or anus, causing discomfort or bleeding."
herniated disk,"A spinal disc whose inner material protrudes and presses on nearby nerves, causing pain."
hiatal hernia,A condition where part of the stomach pushes up through the diaphragm into the chest.
hyperemesis gravidarum,"Severe, persistent nausea and vomiting during pregnancy that can cause dehydration."
hypertensive heart disease,Heart problems caused by chronic high blood pressure.
idiopathic excessive menstruation,Unusually heavy menstrual bleeding with no identifiable underlying cause.
idiopathic irregular menstrual cycle,Irregular menstrual periods with no identifiable underlying cause.
idiopathic painful menstruation,Painful periods (dysmenorrhea) with no identifiable underlying cause.
infectious gastroenteritis,"Inflammation of the stomach and intestines from infection, causing diarrhea and vomiting."
injury to the arm,"Physical trauma to the arm, such as a sprain, strain, or fracture."
injury to the leg,"Physical trauma to the leg, such as a sprain, strain, or fracture."
injury to the trunk,"Physical trauma to the torso, potentially affecting internal organs."
liver disease,Any condition that damages the liver and impairs its function.
macular degeneration,"Progressive deterioration of the retina's macula, causing central-vision loss."
marijuana abuse,Problematic cannabis use that interferes with daily functioning or health.
multiple sclerosis,An autoimmune disease in which the immune system attacks the protective covering of nerves.
noninfectious gastroenteritis,"Inflammation of the stomach and intestines not caused by infection (e.g., from diet or medication)."
nose disorder,"A general category of conditions affecting the nose, such as obstruction or bleeding."
obstructive sleep apnea (osa),Repeated pauses in breathing during sleep caused by airway collapse.
otitis externa (swimmer's ear),"Infection of the outer ear canal, often from trapped moisture."
otitis media,"Infection or inflammation of the middle ear, common in children."
pain after an operation,Post-surgical pain at or near the site of an operation.
panic disorder,"An anxiety disorder marked by recurrent, unexpected panic attacks."
pelvic inflammatory disease,"Infection of the female reproductive organs, often from sexually transmitted bacteria."
peripheral nerve disorder,"Damage to nerves outside the brain and spinal cord, causing weakness, numbness, or pain."
personality disorder,"A mental-health pattern of rigid, unhealthy thinking and behavior that impairs relationships."
problem during pregnancy,A general category of complications arising during pregnancy.
pyogenic skin infection,A pus-producing bacterial infection of the skin.
rectal disorder,"A general category of conditions affecting the rectum, such as bleeding or pain."
schizophrenia,"A serious mental disorder affecting thinking, perception, emotions, and behavior."
seasonal allergies (hay fever),Allergic inflammation of the nose and eyes triggered by seasonal allergens like pollen.
sebaceous cyst,"A benign, fluid- or keratin-filled lump beneath the skin."
sepsis,"A life-threatening, body-wide response to infection that can lead to organ failure."
sickle cell crisis,A painful episode in sickle cell disease when misshapen red blood cells block blood flow.
sinus bradycardia,A slower-than-normal heart rate originating from the heart's natural pacemaker.
skin pigmentation disorder,A condition causing abnormal lightening or darkening of the skin.
skin polyp,"A small, usually benign growth projecting from the skin."
spinal stenosis,Narrowing of the spinal canal that puts pressure on the spinal cord or nerves.
spondylosis,"Age-related wear of the spinal discs and joints, a form of spinal osteoarthritis."
spontaneous abortion,The natural loss of a pregnancy before the 20th week (miscarriage).
sprain or strain,Injury to a ligament (sprain) or to a muscle/tendon (strain).
strep throat,"A bacterial throat infection caused by group A streptococcus, causing severe sore throat."
stye,A painful red lump on the eyelid caused by an infected oil gland.
temporary or benign blood in urine,The presence of blood in the urine that is transient or from a non-serious cause.
threatened pregnancy,Early-pregnancy bleeding that raises the risk of miscarriage but where the pregnancy may continue.
vaginal cyst,A benign fluid-filled lump in the vaginal wall.
vaginitis,"Inflammation of the vagina, often causing discharge, itching, and discomfort."
vulvodynia,Chronic pain or discomfort around the opening of the vagina with no identifiable cause.
