Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
acute bronchiolitis,consult a healthcare professional,avoid smoke and known irritants,stay hydrated,rest and monitor breathing
acute bronchitis,consult a healthcare professional,avoid smoke and known irritants,stay hydrated,rest and monitor breathing
acute bronchospasm,consult a healthcare professional,avoid smoke and known irritants,stay hydrated,rest and monitor breathing
acute kidney injury,consult a healthcare professional,drink plenty of water,maintain good hygiene,complete any prescribed treatment
acute pancreatitis,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
acute sinusitis,consult a healthcare professional,avoid smoke and known irritants,stay hydrated,rest and monitor breathing
angina,seek prompt medical evaluation,avoid strenuous exertion until cleared,follow prescribed medication,monitor for worsening symptoms
anxiety,consult a mental-health professional,maintain a support network,keep a regular routine,seek urgent help in crisis
appendicitis,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
arthritis of the hip,rest the affected area,apply ice and elevate if swollen,avoid aggravating activity,consult a healthcare professional
asthma,consult a healthcare professional,avoid smoke and known irritants,stay hydrated,rest and monitor breathing
benign prostatic hyperplasia (bph),consult a healthcare professional,drink plenty of water,maintain good hygiene,complete any prescribed treatment
brachial neuritis,seek medical evaluation,avoid driving until assessed,rest and avoid overexertion,follow up with a specialist
bursitis,rest the affected area,apply ice and elevate if swollen,avoid aggravating activity,consult a healthcare professional
carpal tunnel syndrome,rest the affected area,apply ice and elevate if swollen,avoid aggravating activity,consult a healthcare professional
cholecystitis,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
chronic back pain,rest the affected area,apply ice and elevate if swollen,avoid aggravating activity,consult a healthcare professional
chronic constipation,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
chronic obstructive pulmonary disease (copd),consult a healthcare professional,avoid smoke and known irritants,stay hydrated,rest and monitor breathing
complex regional pain syndrome,seek medical evaluation,avoid driving until assessed,rest and avoid overexertion,follow up with a specialist
concussion,seek medical evaluation,avoid driving until assessed,rest and avoid overexertion,follow up with a specialist
conjunctivitis,avoid touching or rubbing the eye,maintain eye hygiene,consult an eye-care professional,seek care if vision changes
conjunctivitis due to allergy,avoid touching or rubbing the eye,maintain eye hygiene,consult an eye-care professional,seek care if vision changes
contact dermatitis,keep the area clean and dry,avoid scratching or irritants,consult a healthcare professional,use protective skin care
cornea infection,avoid touching or rubbing the eye,maintain eye hygiene,consult an eye-care professional,seek care if vision changes
croup,consult a healthcare professional,avoid smoke and known irritants,stay hydrated,rest and monitor breathing
cystitis,consult a healthcare professional,drink plenty of water,maintain good hygiene,complete any prescribed treatment
degenerative disc disease,rest the affected area,apply ice and elevate if swollen,avoid aggravating activity,consult a healthcare professional
dental caries,consult a healthcare professional,keep the ear/mouth area clean,avoid inserting objects,complete any prescribed treatment
depression,consult a mental-health professional,maintain a support network,keep a regular routine,seek urgent help in crisis
developmental disability,consult a mental-health professional,maintain a support network,keep a regular routine,seek urgent help in crisis
diaper rash,keep the area clean and dry,avoid scratching or irritants,consult a healthcare professional,use protective skin care
diverticulitis,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
ear drum damage,consult a healthcare professional,keep the ear/mouth area clean,avoid inserting objects,complete any prescribed treatment
eczema,keep the area clean and dry,avoid scratching or irritants,consult a healthcare professional,use protective skin care
esophagitis,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
eustachian tube dysfunction (ear disorder),consult a healthcare professional,keep the ear/mouth area clean,avoid inserting objects,complete any prescribed treatment
fungal infection of the hair,keep the area clean and dry,avoid scratching or irritants,consult a healthcare professional,use protective skin care
gallstone,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
gastrointestinal hemorrhage,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
gout,rest the affected area,apply ice and elevate if swollen,avoid aggravating activity,consult a healthcare professional
gum disease,consult a healthcare professional,keep the ear/mouth area clean,avoid inserting objects,complete any prescribed treatment
heart failure,seek prompt medical evaluation,avoid strenuous exertion until cleared,follow prescribed medication,monitor for worsening symptoms
hemorrhoids,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
herniated disk,rest the affected area,apply ice and elevate if swollen,avoid aggravating activity,consult a healthcare professional
hiatal hernia,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
hyperemesis gravidarum,seek prompt obstetric care,avoid strenuous activity,stay hydrated,attend follow-up appointments
hypertensive heart disease,seek prompt medical evaluation,avoid strenuous exertion until cleared,follow prescribed medication,monitor for worsening symptoms
idiopathic excessive menstruation,consult a healthcare professional,track your symptoms and cycle,maintain good hygiene,seek care if pain is severe
idiopathic irregular menstrual cycle,consult a healthcare professional,track your symptoms and cycle,maintain good hygiene,seek care if pain is severe
idiopathic painful menstruation,consult a healthcare professional,track your symptoms and cycle,maintain good hygiene,seek care if pain is severe
infectious gastroenteritis,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
injury to the arm,seek medical evaluation,immobilize and rest the area,apply ice to reduce swelling,follow up as advised
injury to the leg,seek medical evaluation,immobilize and rest the area,apply ice to reduce swelling,follow up as advised
injury to the trunk,seek medical evaluation,immobilize and rest the area,apply ice to reduce swelling,follow up as advised
liver disease,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
macular degeneration,avoid touching or rubbing the eye,maintain eye hygiene,consult an eye-care professional,seek care if vision changes
marijuana abuse,consult a mental-health professional,maintain a support network,keep a regular routine,seek urgent help in crisis
multiple sclerosis,seek medical evaluation,avoid driving until assessed,rest and avoid overexertion,follow up with a specialist
noninfectious gastroenteritis,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
nose disorder,consult a healthcare professional,keep the ear/mouth area clean,avoid inserting objects,complete any prescribed treatment
obstructive sleep apnea (osa),consult a healthcare professional,avoid smoke and known irritants,stay hydrated,rest and monitor breathing
otitis externa (swimmer's ear),consult a healthcare professional,keep the ear/mouth area clean,avoid inserting objects,complete any prescribed treatment
otitis media,consult a healthcare professional,keep the ear/mouth area clean,avoid inserting objects,complete any prescribed treatment
pain after an operation,seek medical evaluation,immobilize and rest the area,apply ice to reduce swelling,follow up as advised
panic disorder,consult a mental-health professional,maintain a support network,keep a regular routine,seek urgent help in crisis
pelvic inflammatory disease,consult a healthcare professional,track your symptoms and cycle,maintain good hygiene,seek care if pain is severe
peripheral nerve disorder,seek medical evaluation,avoid driving until assessed,rest and avoid overexertion,follow up with a specialist
personality disorder,consult a mental-health professional,maintain a support network,keep a regular routine,seek urgent help in crisis
problem during pregnancy,seek prompt obstetric care,avoid strenuous activity,stay hydrated,attend follow-up appointments
pyogenic skin infection,keep the area clean and dry,avoid scratching or irritants,consult a healthcare professional,use protective skin care
rectal disorder,consult a healthcare professional,stay hydrated,eat bland easy-to-digest food,avoid trigger foods
schizophrenia,consult a mental-health professional,maintain a support network,keep a regular routine,seek urgent help in crisis
seasonal allergies (hay fever),consult a healthcare professional,avoid smoke and known irritants,stay hydrated,rest and monitor breathing
sebaceous cyst,keep the area clean and dry,avoid scratching or irritants,consult a healthcare professional,use protective skin care
sepsis,seek prompt medical care,monitor symptoms closely,stay hydrated,follow prescribed treatment
sickle cell crisis,seek prompt medical care,monitor symptoms closely,stay hydrated,follow prescribed treatment
sinus bradycardia,seek prompt medical evaluation,avoid strenuous exertion until cleared,follow prescribed medication,monitor for worsening symptoms
skin pigmentation disorder,keep the area clean and dry,avoid scratching or irritants,consult a healthcare professional,use protective skin care
skin polyp,keep the area clean and dry,avoid scratching or irritants,consult a healthcare professional,use protective skin care
spinal stenosis,rest the affected area,apply ice and elevate if swollen,avoid aggravating activity,consult a healthcare professional
spondylosis,rest the affected area,apply ice and elevate if swollen,avoid aggravating activity,consult a healthcare professional
spontaneous abortion,seek prompt obstetric care,avoid strenuous activity,stay hydrated,attend follow-up appointments
sprain or strain,rest the affected area,apply ice and elevate if swollen,avoid aggravating activity,consult a healthcare professional
strep throat,consult a healthcare professional,avoid smoke and known irritants,stay hydrated,rest and monitor breathing
stye,avoid touching or rubbing the eye,maintain eye hygiene,consult an eye-care professional,seek care if vision changes
temporary or benign blood in urine,consult a healthcare professional,drink plenty of water,maintain good hygiene,complete any prescribed treatment
threatened pregnancy,seek prompt obstetric care,avoid strenuous activity,stay hydrated,attend follow-up appointments
vaginal cyst,consult a healthcare professional,track your symptoms and cycle,maintain good hygiene,seek care if pain is severe
vaginitis,consult a healthcare professional,track your symptoms and cycle,maintain good hygiene,seek care if pain is severe
vulvodynia,consult a healthcare professional,track your symptoms and cycle,maintain good hygiene,seek care if pain is severe
